Paling Rendah;Lowest
Paling Tinggi;Highest
Ibu Kota;Capital
Ibukota;Capital
Negara Bagian;state
Perdana Menteri;Prime Minister
Perdana Mentri;Prime Minister
Tata Surya;Solar System
Tour de France;Tour de France
Saudara laki-laki;Brother
Saudara perempuan;Sister
Bank Dunia;World Bank
Parlemen Eropa;European Parliament
Didirikan;founded
Dilakukan;took place
berada;at
penduduk;inhabitants
hukuman mati;death penalty
Piala dunia;World Cup
